,Review,Positive,Negative,Neutral
264,pleas dont buy phonethi total wast moneyi excit see phone  mp phone camera camera badin phone softwar differ realm phonein phone one app photo videosin phone set differ realm phonein phone app lock hide app settingsand option return that could even return phonepleas dont ,0.0,0.038,0.962
265,price rang better phone could come good built qualiti light good call qualiti clear sound loud rington forget nokia samsung buy lava much better qualiti u wont regret itz steal,0.456,0.045,0.499
266,super handi low budget  nice featur loud speaker batteri saver mode make devic fabulousi tell budget segment one compititionclos ur eye buy,0.241,0.076,0.683
267,perfect phone basic price rang phone good secondari phone option dual sim backlit keypad music player fm radio bluetooth option  gb memori card paid rs  amaz,0.216,0.0,0.784
268,good product must buyi bought  mobilesthank u fkipkart,0.326,0.0,0.674
269,buy  mobil verri good call nd loud sound old pepol,0.244,0.0,0.756
270,best featur phone price segment everyth good one point vibrat,0.47,0.0,0.53
271,worth money valu basic purpos thankyou flipkart ,0.241,0.0,0.759
272,bad phone,0.0,0.778,0.222
273,batteri backup poor sad ,0.0,0.756,0.244
274,good mobil,0.744,0.0,0.256
275,batteri goodcamera qualiti goodperform good slow work satisfi perform dont like phone perform abl,0.17,0.124,0.705
276,happi purchas product display camera qualiti good  recommend buy product,0.403,0.0,0.597
277,good,1.0,0.0,0.0
278,nice product,0.737,0.0,0.263
